CO_ORDER,county_id,CO_NAME,acres,job_spaces_orig,job_spaces_new,job_spaces_change,resunits_orig,resunits_new,resunits_change,density_hhemp_orig,density_hhemp_new,density_hhemp_change
1.0,3.0,Weber,5509.421158580057,48500.0,100900.0,52400.0,10000.0,45500.0,35500.0,11.0,27.0,16.0
2.0,1.0,Davis,5605.7242903318975,41600.0,128900.0,87300.0,10200.0,68300.0,58100.0,9.0,35.0,26.0
3.0,2.0,Salt Lake,17181.376308118786,302500.0,584900.0,282400.0,44300.0,230200.0,185900.0,20.0,47.0,27.0
4.0,4.0,Utah,6669.2486900732,89100.0,185200.0,96100.0,18600.0,86700.0,68100.0,16.0,41.0,25.0
10.0,10.0,,34965.77044710394,481600.0,999900.0,518300.0,83100.0,430700.0,347600.0,16.0,41.0,25.0
